customer_id,first_name,last_name,email,phone,date_of_birth
1,Webb,Oggers,woggers0@imageshack.us,928-508-0943,1947-06-24
2,Ignace,Kesley,ikesley1@amazon.co.jp,171-307-6210,1951-03-04
3,Shayne,Clements,sclements2@discuz.net,508-556-6649,1985-10-20
4,Clarisse,McDyer,cmcdyer3@weebly.com,722-448-2116,1934-08-15
5,Kaleb,Aspy,kaspy4@ft.com,942-896-2703,1999-10-19
6,Jeramie,Jacobowits,jjacobowits5@networksolutions.com,822-815-7012,1999-07-16
7,Kendra,Hurt,khurt6@state.gov,873-978-8217,1953-08-29
8,Sonja,Middler,smiddler7@ucla.edu,435-602-4498,1924-07-07
9,Tandie,Calbreath,tcalbreath8@vistaprint.com,416-701-7280,1979-08-02
10,Delbert,Bedham,dbedham9@nhs.uk,690-417-1807,1947-06-16
11,Abagael,Murdie,amurdiea@technorati.com,217-303-1980,1995-07-16
12,Haskell,Tabram,htabramb@discovery.com,142-562-7854,1943-11-07
13,Raviv,Ronchka,rronchkac@taobao.com,150-962-1435,1961-06-02
14,Ulla,Karpman,ukarpmand@sbwire.com,851-274-1743,1933-05-10
15,Lawry,Savege,lsavegee@census.gov,380-589-1864,1980-10-28
16,Dana,Simmance,dsimmancef@trellian.com,492-759-3708,1929-02-19
17,Worth,Ridding,wriddingg@symantec.com,302-418-7430,1965-02-17
18,Dion,Steers,dsteersh@fda.gov,767-624-6953,1997-12-08
19,Eloise,Claye,eclayei@xinhuanet.com,405-220-9484,1922-05-22
20,Dode,Gloster,dglosterj@slate.com,933-279-2674,1913-11-15
21,Petronilla,Demougeot,pdemougeotk@elegantthemes.com,533-466-8707,1983-11-13
22,John,Wibrew,jwibrewl@chronoengine.com,489-168-1792,1977-05-28
23,Enriqueta,Ruspine,eruspinem@globo.com,746-824-7115,1926-06-17
24,Ellen,Jeske,ejesken@elegantthemes.com,892-953-5801,1924-12-17
25,Kacie,Eveleigh,keveleigho@alibaba.com,983-703-2148,1988-02-03
26,Kienan,Stillmann,kstillmannp@histats.com,300-822-6024,2003-10-18
27,Otes,Spaice,ospaiceq@wikia.com,400-335-1722,1921-03-22
